PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
736	Unknown	2141	11.72145	11.88747	11.93173	149.024	15704.50390625	91679.7421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	85.16329	149.02405:16645 149.13142:516 150.02631:1088 151.09842:1564 153.09004:1628 153.13106:486	
737	Unknown	2141	11.7602	11.88747	11.9926	280.1635	7521.38623046875	67234.65625	null	[M+H]+	M + 1	isotope of 738	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	66.69576	280.16406:7247 280.32303:232 281.17993:1010 281.24597:466 282.01147:239 282.18933:389 283.21933:1053 284.20685:422 284.25143:361	
738	Unknown	2142	11.77127	11.893	11.98707	279.1598	44312.296875	374918.71875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	253.1621	279.15982:45057 279.53485:202 280.16443:7864 280.95056:400 281.16962:1297 281.24188:572 282.01251:229 282.19067:434 283.2197:905	
739	Unknown	2150	11.7934	11.93727	12.11988	414.3307	7110.0009765625	104455.140625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	27.96876	414.33072:7306 415.32364:2276 416.33151:984 416.92514:221 417.30676:863 418.25931:279 418.33646:300 419.25186:543	
740	Unknown	2158	11.8266	11.98153	12.00367	372.2011	5051.40283203125	19986.0234375	null	[M+H]+	M + 1	isotope of 743	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	40.79749	372.20114:5716 372.29514:962 373.2923:2670 374.30521:759 375.10233:216 375.26065:864 376.27762:435 377.14471:334	
741	Unknown	2159	11.72698	11.98707	12.25822	313.1439	14403.369140625	183594.65625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	85.87747	313.14508:13702 313.27948:816 314.03357:249 314.14877:3409 314.26923:617 314.99008:668 315.22375:942 316.24127:446 316.98221:1047 317.13931:317 317.21872:703 318.13303:224	
742	Unknown	2159	11.97047	11.98707	12.02027	373.3033	1983.48876953125	4672.275390625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.933865	373.02261:217 373.20941:1275 373.30582:2476 374.30106:954 374.96603:229 375.25009:754 376.28928:647 377.26047:755 377.32074:614 378.27261:580	
743	Unknown	2160	11.62738	11.9926	12.3357	371.1983	20614.1953125	270648.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	134.8378	371.1983:20704 372.20181:4940 372.33627:457 373.29688:2677 374.19257:427 374.30969:842 375.26721:901	
744	Unknown	2174	11.98707	12.07008	12.11988	206.0888	2531.04052734375	14430.3291015625	null	[M+H]+	M + 1	isotope of 752	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.72413	206.08881:3040 207.09242:408 209.1483:318 209.19128:388 210.16661:263	
745	Unknown	2174	11.98153	12.07008	12.3357	338.2167	4575.353515625	64150.2890625	null	[M+H]+	M + 1	isotope of 749	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	29.73365	338.21671:4621 338.285:1235 338.96786:210 339.2435:996 340.26709:478 341.27612:1448 342.2944:453 343.15457:1857	
746	Unknown	2174	11.98153	12.07008	12.3357	338.2169	4575.353515625	64150.2890625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	32.39893	338.21671:4621 338.285:1235 338.96786:210 339.2435:996 340.26709:478 341.27612:1448 342.2944:453 343.15457:1857	
747	Unknown	2175	11.98707	12.07562	12.4685	149.0236	30050.806640625	425404.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	149.7919	149.02357:30995 149.13156:935 149.168:368 150.0273:2710 151.02812:226 151.09995:1730 152.10625:219 153.08955:1828	
748	Unknown	2175	11.98707	12.07562	12.5017	279.1601	70580.453125	988019.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	371.9068	278.95657:224 279.1601:71429 279.83197:208 280.1633:11794 280.95047:251 281.16901:1923 281.24249:717 282.18753:455 282.2522:271 283.2081:1267	
749	Unknown	2175	11.98153	12.07562	12.41317	337.2131	21720.12109375	316259.9375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	131.3741	337.10986:352 337.21307:22137 337.37515:514 337.43866:288 338.21777:4649 338.28534:1434 338.97003:289 339.24332:975 340.26813:664 340.98672:216 341.27362:1014 342.20795:235	
750	Unknown	2176	11.9926	12.08115	12.4021	280.1643	12044.0146484375	161971.640625	null	[M+H]+	M + 1	isotope of 748	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	91.48399	280.16431:12918 280.31152:385 280.95703:225 281.17007:1911 281.23865:569 282.17734:350 282.24631:245 283.21585:926 284.19867:459 284.28229:223	
751	Unknown	2176	11.98153	12.08115	12.12542	301.1418	8031.66455078125	53783.265625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	19.8401	301.14178:8561 302.01932:235 302.14487:1363 302.29367:1828 303.20538:684 303.29068:461 304.22318:576 304.2963:296 305.20932:581	
752	Unknown	2178	11.98707	12.09222	12.47403	205.0867	17133.76171875	243028.59375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	113.232	205.01134:355 205.08595:18044 205.21559:444 206.0898:1754 207.08585:500 208.1333:206 209.12653:345	
753	Unknown	2197	12.17522	12.19735	12.44637	644.4577	3143.83642578125	34673.0703125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	31.41593	644.4577:3692 645.46088:1036 646.45892:348 649.42249:254	
754	Unknown	2210	12.00367	12.26928	12.39657	675.5071	7250.65966796875	93781.8046875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	89.17245	675.50708:7443 676.51508:1729 676.73285:212 677.49719:356 678.61633:236 679.45801:1366 680.46509:538	
755	Unknown	2223	12.20288	12.34123	12.3855	426.3396	2790.68017578125	16665.3359375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.69534	426.33957:3002 427.33282:1309 428.32208:489 429.30347:1396 430.30682:560 431.28836:885	
