,m/z,rt,sn,score,peak area
278,315.1929,4.51,0.907,3,214998.7337239583
279,315.2055,8.92,0.884,3,155444.4896647135
280,316.0008,0.66,0.0,3,304821.7431640625
281,318.2714,8.09,1.065,2,1651533.7755533853
282,318.2714,8.25,2.68,3,1211007.6747233071
283,318.2714,8.4,1.825,3,1651533.7755533853
284,319.2787,8.18,0.0,2,183494.12027994788
285,320.2124,11.07,0.0,3,105126.70617675781
286,320.2124,13.53,2.457,3,838710.2497558594
287,320.2124,13.67,2.024,2,1277905.682779948
288,320.2124,13.79,1.259,3,1444725.287801107
289,321.213,13.53,0.0,3,211099.99967447916
290,322.1523,5.21,0.0,1,286512.51074218744
291,323.1977,5.41,1.008,2,337633.2106119792
292,323.2106,4.65,1.08,2,126863.52596028647
293,323.2106,8.81,2.384,2,327000.5598144531
294,323.2106,9.1,3.697,2,687144.0126953124
295,324.2465,10.92,0.0,2,162485.65885416666
296,325.1687,13.53,2.342,1,164825.1142578125
297,325.2077,5.08,1.702,1,395848.3221028645
298,325.2077,5.46,1.058,1,126461.10485839844
299,325.2077,5.93,0.866,1,931369.2169596354
300,325.2077,6.79,0.94,2,190610.00077311197
301,325.2207,5.71,0.324,2,445750.578125
302,326.2239,5.63,0.0,2,170217.0216471354
303,326.2239,8.17,0.739,3,274758.5514322916
304,326.2239,8.42,0.888,2,113755.39921061197
305,326.25,6.07,1.116,3,820382.9894205729
306,326.25,6.19,2.247,3,738433.6820475259
307,326.25,6.31,1.65,3,820382.9894205729
308,327.0078,8.79,2.521,2,383670.43615722656
309,327.0078,8.92,0.0,3,429041.2584635416
310,327.191,4.48,0.847,2,598775.0989583331
311,327.2302,6.09,0.977,2,184219.1642252604
312,327.2302,6.25,0.927,2,158776.83756510416
313,328.2265,4.85,0.385,2,153262.0966796875
314,329.002,8.79,2.536,1,391959.37658691406
315,329.002,8.9,0.0,3,415531.0042317708
316,329.1995,5.06,0.938,1,172496.09130859375
317,329.2258,4.76,0.0,1,114939.39876302081
318,329.2258,10.04,1.917,3,357867.24853515625
319,329.2258,10.16,1.283,3,539382.1214192708
320,329.2785,12.31,0.0,3,274161.6009928385
321,330.281,15.82,0.0,1,129651.06518554688
322,331.2865,15.59,3.157,1,5049832.092447916
323,331.2865,15.71,2.478,3,6754214.470703125
324,331.2865,15.83,2.372,2,7694505.750895182
325,331.2865,15.94,3.233,2,7778455.862467447
326,332.0959,3.85,0.0,1,492291.71826171875
327,333.2136,6.82,1.129,1,153972.97037760416
328,333.2269,10.4,9.615,3,6285434.748046875
329,333.2269,10.53,2.363,1,6558591.1376953125
330,333.2269,10.66,2.984,1,7455519.003906249
331,333.2269,10.87,2.111,1,7464329.447672525
332,333.2269,11.01,1.371,2,7594855.707234699
333,333.2935,15.59,0.0,3,134534.77534993488
334,334.228,10.4,3.972,1,1081998.540364583
335,334.228,10.52,1.89,3,1266432.003580729
336,334.3083,17.07,5.099,3,401240.1770833333
337,335.192,6.05,1.521,1,165943.7899169922
338,335.2456,8.39,4.488,1,1175689.1915690103
339,335.2456,8.51,1.39,3,1309527.7252604167
340,335.259,11.64,1.745,1,327247.98828124994
341,335.2724,11.2,1.213,3,1172503.6439615884
342,336.2932,15.55,0.0,2,125406.8546549479
343,337.1552,8.17,3.304,1,309655.05761718744
