,m/z,rt,sn,score,peak area
329,241.1428,4.98,0.829,3,275180.46858723956
330,241.1621,10.02,1.103,2,115968.07466634113
331,241.1814,4.27,2.717,3,216026.09147135416
332,242.1771,8.14,2.322,3,412678.1860351562
333,242.1771,8.27,0.0,1,436036.5354817708
334,242.2837,5.25,0.195,3,120662572.22574869
335,242.2837,5.39,1.0,2,409963736.6315104
336,242.4194,5.25,0.0,3,51630334.86393229
337,243.1185,3.95,0.0,1,471712.72542317706
338,243.138,7.68,0.572,3,149527.1193440755
339,243.138,7.8,1.169,2,291515.2991536458
340,243.138,7.97,1.133,1,146820.24279785156
341,243.1477,8.34,1.325,1,124483.13920084634
342,243.2839,5.35,1.101,1,47958996.541666664
343,243.2839,5.68,0.455,2,2193921.905598958
344,243.4202,5.35,1.116,2,3147371.2031249995
345,244.2297,5.24,0.0,1,312673.2076822916
346,244.2883,5.25,0.123,1,3340810.762288411
347,244.2883,5.37,0.973,2,8885470.609130858
348,244.2883,5.71,0.027,3,8930692.118367514
349,245.1399,4.28,3.595,2,622564.4469401042
350,245.2968,5.33,2.27,2,378854.0732421875
351,245.2968,5.45,1.909,3,499000.5338541666
352,246.1716,4.03,0.0,2,239877.35791015625
353,247.1484,6.04,1.484,2,110632.36263020833
354,247.1582,6.46,0.0,1,122792.96525065103
355,247.178,8.46,0.0,1,344276.0608317057
356,248.1091,8.29,0.0,3,122142.34130859374
357,249.1534,5.12,0.832,2,125067.9132486979
358,249.1534,5.25,1.105,1,103866.01106770833
359,249.1534,5.64,0.408,1,127523.10026041666
360,249.1534,6.04,0.816,2,211817.4970703125
361,249.1534,7.03,1.199,2,132611.3155924479
362,249.1633,5.82,2.588,1,1799598.5859375
363,249.1633,5.96,1.823,2,1966953.6360677083
364,249.1733,4.91,0.0,3,989013.4671223958
365,249.1833,11.34,2.389,2,287144.8333333333
366,249.1833,11.45,1.354,3,450587.28739420563
367,249.1833,11.67,1.03,1,113810.12381998697
368,250.162,5.76,1.109,2,328337.67464192706
369,250.172,4.92,1.77,3,157312.5164794922
370,250.182,6.07,5.172,1,552932.6036783854
371,251.1445,9.9,0.962,2,352397.44921875
372,251.1445,10.03,1.461,2,445315.32747395826
373,251.1545,10.12,0.81,3,187309.55957031247
374,251.1746,5.53,1.041,1,149557.73559570312
375,251.1746,6.57,0.0,2,177915.30411783856
376,251.1847,5.16,5.064,1,3197381.825561523
377,251.1847,5.37,0.618,2,3489285.899820964
378,251.1847,5.96,0.0,3,642397.0611979166
379,251.1847,6.5,0.0,3,363694.27522786456
380,252.1813,4.54,0.0,3,490496.4812825521
381,252.1914,5.24,1.551,3,315086.547281901
382,253.1617,4.05,0.0,1,139426.51546223956
383,253.1718,6.37,0.746,1,109784.71598307292
384,253.1718,6.62,1.056,3,118716.89412434897
385,253.1718,10.68,0.991,1,154803.86189778644
386,253.1921,9.81,2.121,3,331299.95117187494
387,253.2123,12.77,0.803,2,192505.89941406247
388,253.2123,13.11,0.0,3,116818.98474121092
389,254.1967,4.83,2.233,3,326503.3629557291
390,254.217,12.28,1.715,2,185456.24300130206
391,255.0114,6.63,0.0,2,373396.65576171863
392,255.0624,7.77,9.072,2,1410635.5974527993
393,255.0624,7.91,2.167,2,1548115.1272786455
394,255.1542,7.58,1.996,3,177237.37744140625
395,255.1848,10.64,0.73,1,310190.7266845703
396,255.1848,10.93,0.858,2,292593.75451660156
397,255.1848,11.33,0.973,2,499282.41247558594
398,255.2359,12.67,2.7,1,570992.6071777344
399,255.2359,12.81,1.776,2,758391.4237467448
400,255.2359,13.0,1.432,3,131953.64420572916
401,255.2461,11.88,5.366,3,461470.4778238932
402,255.2461,12.0,1.112,1,481101.23030598956
403,256.0642,7.77,0.0,1,144602.05126953125
404,256.1769,3.44,1.516,3,137737.5032552083
405,256.1769,6.44,1.404,3,571165.501953125
406,256.1769,6.57,0.213,1,708074.4078776042
407,256.2999,5.76,6.331,2,4771692.39453125
408,256.2999,5.89,2.052,2,5486626.369791665
409,256.2999,6.04,2.702,2,5983222.119140625
410,256.9671,21.07,0.0,3,275028.1474609375
411,257.1007,10.28,0.965,1,176240.46988932294
412,257.1419,4.44,2.101,1,364448.9583333333
413,257.1419,4.59,1.563,3,381722.9903564453
414,257.1625,8.86,0.55,2,199917.3308919271
415,257.1625,9.22,0.854,1,116348.2316080729
416,257.1625,9.79,5.441,1,1714446.3033854165
417,257.1625,9.92,1.856,1,2100657.208211263
418,257.1625,10.04,1.89,3,2461679.3245442715
419,257.1727,6.43,0.0,2,181336.19974772134
420,257.1933,11.58,1.129,2,128515.9187825521
421,257.1933,11.82,1.156,2,519805.4313964843
422,257.2345,7.09,1.879,1,2153800.0865478516
423,257.2345,7.25,2.427,3,2111123.9003906245
424,257.2345,7.36,3.057,3,1981456.4471842446
425,257.2345,7.51,1.483,2,2153800.0865478516
426,257.2653,5.47,0.0,2,170177.0177815755
427,257.3065,5.76,6.811,3,873761.2923177084
428,257.3065,5.88,1.824,2,983952.7524007161
429,258.0899,4.14,0.0,3,208936.0208333333
430,258.1622,9.8,3.332,3,287368.2646077474
431,258.1622,9.92,0.0,2,331631.6223958333
432,258.1725,4.96,0.936,1,290602.9111328125
433,258.1725,6.71,1.047,2,232624.49442545575
434,258.1828,5.82,0.0,2,140220.3134765625
435,258.2138,5.92,7.219,2,763308.9664713541
436,258.2138,6.05,0.0,3,796991.4286702473
437,258.2345,7.15,0.0,3,131258.54541015625
438,258.2758,4.65,16.435,3,9280132.754720055
439,258.2758,5.05,15.811,1,2538299.4484049478
440,258.2758,5.19,2.584,3,2623346.3766276045
441,259.1554,4.26,5.705,1,484017.59566243493
442,259.1658,3.56,0.0,3,653396.6277669271
443,259.1658,3.68,3.344,2,605546.1471354166
444,259.1658,3.81,0.0,2,653396.6277669271
445,259.1658,9.78,0.0,1,117706.26318359375
446,259.1761,5.53,0.595,2,105191.85302734375
447,259.1761,7.31,0.0,1,136611.3017578125
448,259.1761,7.89,2.885,2,260798.21870930988
449,259.2798,4.64,2.862,2,1542911.6370442705
