,m/z,rt,sn,score,peak area
307,324.2334,5.69,1.074,2,561602.5622558594
308,324.2334,5.81,3.611,1,544606.8465169271
309,325.1685,13.54,2.383,2,176346.9500325521
310,325.2075,5.05,2.263,1,244725.29150390622
311,325.2205,12.04,3.012,3,633209.7356770833
312,325.2336,5.73,0.601,3,211241.2381184896
313,325.2336,11.86,0.0,2,128454.14729817708
314,326.2238,5.6,0.0,3,190211.85953776038
315,326.2499,6.09,1.233,3,401364.3513183593
316,326.2499,6.21,2.164,3,377899.649617513
317,327.0076,8.78,2.676,3,359117.2326253255
318,327.0076,8.91,0.0,1,393061.1799723307
319,327.217,8.65,2.497,1,360147.8538411458
320,327.217,8.77,1.515,3,507444.5388997396
321,329.0018,8.79,2.875,3,368349.5481770833
322,329.1993,5.75,1.148,1,151184.8655598958
323,329.2256,10.02,0.0,3,186120.486328125
324,331.1804,5.08,1.525,3,142181.86108398438
325,331.2069,6.11,1.428,3,441842.62011718744
326,331.2069,6.24,1.991,2,414792.1655273437
327,331.2069,6.35,1.062,2,441842.62011718744
328,331.2069,6.64,0.378,3,135281.15299479166
329,331.2864,15.59,4.544,1,2074855.0559895833
330,331.2864,15.72,1.828,1,2497684.699869791
331,331.2864,15.85,2.931,2,2923992.0862630205
332,331.2864,15.96,1.492,2,2914850.6443277993
333,333.1867,5.31,0.0,3,611540.9518229166
334,333.2267,5.58,0.0,3,233969.2957763672
335,333.2267,10.38,8.957,3,17031754.450968422
336,333.2267,10.53,2.218,1,17022288.732421875
337,333.2267,10.65,2.98,3,20102246.722656254
338,333.24,10.94,0.878,3,313259.658203125
339,333.2534,11.05,2.185,2,348999.34277343744
340,333.2534,11.18,1.62,1,398567.38370768225
341,334.2279,10.37,7.101,2,3536607.6575520835
342,334.2279,10.53,2.053,2,3733388.8483072915
343,334.2279,10.64,2.522,1,4293290.922688802
344,334.2279,10.82,2.305,2,4299379.3225911455
345,334.3081,17.07,3.734,1,222967.85026041666
346,335.232,10.37,2.291,2,356960.6848958333
347,335.232,10.49,1.287,3,775472.3712565106
348,335.2455,8.38,20.719,2,6106345.257486979
349,335.2455,8.53,2.174,1,6911441.738932291
350,335.2455,8.65,0.0,1,6993397.456054687
351,335.2455,8.79,2.817,3,6962959.779663086
352,335.2723,11.39,0.827,1,210004.4346516927
353,336.2527,8.37,0.0,2,1207334.6943359375
354,337.209,11.93,2.82,2,544052.1020507812
355,337.209,12.12,2.51,1,656520.5029296875
356,337.2225,12.41,0.833,1,104122.99361165363
357,337.2494,8.36,0.0,3,126556.53112792969
358,338.2221,12.12,0.0,2,101744.69490559897
359,338.2492,7.09,1.076,3,149536.10026041663
360,338.3168,14.84,1.711,1,232290.65270996094
361,338.3439,17.22,7.271,3,4122707.135335286
