,m/z,rt,sn,score,peak area
483,364.3299,13.88,0.0,2,272531.85693359375
484,366.3172,13.86,1.037,1,2734443.4646809897
485,366.3172,14.07,2.412,1,2374609.5709228516
486,366.3172,14.21,1.8,3,2734443.4646809897
487,366.3465,15.83,2.652,3,886304.01171875
488,366.3465,15.95,2.84,1,1388415.3691406252
489,366.3465,16.08,0.0,1,1547139.001993815
490,367.2856,16.07,0.0,1,213659.2364908854
491,367.3296,13.96,4.197,1,410371.1103515625
492,368.3596,16.45,6.064,1,359570.7415364583
493,368.4185,16.71,0.797,2,117796.46663411458
494,369.2152,7.01,3.282,3,298721.8440755208
495,369.2447,8.86,3.221,2,502248.7985026041
496,369.2447,8.99,1.672,1,616400.821126302
497,369.2447,15.59,2.108,1,352222.23665364576
498,369.2447,15.71,1.504,2,617940.6139322916
499,370.3837,17.08,5.207,3,934958.3335774739
500,370.3837,17.22,1.959,3,1189438.0157063801
501,371.1549,13.84,0.0,3,102812.1982421875
502,371.1697,13.24,0.0,2,325905.2504882813
503,371.1994,12.04,4.294,3,454781.6533203125
504,371.2737,13.97,2.914,1,292357.21289062494
505,371.3182,16.82,2.493,2,1356778.7005208335
506,371.3182,16.98,2.247,1,2091151.2799479165
507,371.3182,17.1,0.0,1,2201390.806966146
508,371.3776,17.08,3.84,2,261977.23604329425
509,372.3147,16.82,2.562,3,317658.8570963542
510,372.3147,16.94,0.0,2,417648.5745442709
511,373.1794,9.75,5.763,1,889868.8123372395
512,373.1794,9.87,1.843,2,1050172.6573893228
513,373.3138,15.57,2.682,1,367988.83870442706
514,373.3138,15.69,0.0,1,396967.3996988932
515,374.1809,9.72,0.0,2,159918.31730143228
516,374.3156,15.81,0.793,3,356255.6278076172
517,375.17,4.91,8.946,1,1837152.9189453125
518,375.185,5.04,0.898,2,143506.8662109375
519,375.3051,15.59,2.227,1,309824.98714192706
520,375.3051,15.71,0.0,3,349246.6595052083
521,376.1768,4.91,0.0,3,421888.534016927
522,376.3423,16.53,2.799,1,19398664.362874348
523,376.3423,16.68,24.068,2,30743130.545572914
524,377.2315,15.12,1.802,1,147091.2187906901
525,377.3372,14.64,2.199,2,263848.5572916667
526,377.3372,14.76,1.261,2,339936.3780924479
527,377.3523,16.52,2.726,1,4647049.487345377
528,377.3523,16.65,2.329,1,6360589.212239583
529,377.3523,16.77,0.74,1,684863.974609375
530,377.3523,16.9,0.191,3,764367.1923421223
531,378.3498,16.53,2.81,1,666415.682047526
532,378.3498,16.65,2.201,1,907199.7423502604
533,379.2589,15.59,2.07,2,368114.50256347656
534,379.2589,15.71,1.366,3,414136.5673421223
535,380.3375,14.69,3.133,1,285896.5536295573
536,380.3375,14.81,1.079,1,304203.56689453125
537,381.2971,16.35,28.153,1,31070897.898111977
538,381.2971,16.52,8.154,1,27322780.81844075
539,381.2971,16.75,24.543,3,31070897.898111977
540,382.3051,16.35,1.337,3,478759.9786376953
541,382.3051,16.52,2.727,1,4523874.439331055
542,382.3051,16.65,2.032,3,6211581.104370116
