,m/z,rt,sn,score,peak area
472,358.318,14.14,1.633,2,1144417.3955078125
473,359.3227,16.34,4.826,2,1213512.6845703125
474,359.3227,16.53,6.672,2,17265353.296549477
475,359.3227,16.65,1.502,2,17625829.52571614
476,359.3227,16.78,0.422,2,3000258.6276041665
477,360.3158,16.34,4.335,1,276689.1100260417
478,360.3158,16.53,7.279,1,3979992.8494466143
479,360.3158,16.65,2.112,3,4319223.340657552
480,360.3158,16.78,3.134,1,4808862.341389973
481,360.3302,17.21,3.511,1,854311.6067708333
482,360.3302,17.35,1.236,2,1103136.9099527993
483,360.359,14.15,0.0,2,195579.57279459637
484,361.3261,16.53,2.839,2,452183.2350260416
485,361.3261,16.65,0.0,1,570657.9345703124
486,361.3261,17.2,3.203,3,201117.484375
487,362.3247,11.66,0.0,3,105195.15983072916
488,363.326,13.89,0.0,2,137182.51619466144
489,364.3302,15.21,1.686,3,139645.6545003255
490,364.3302,15.33,0.0,3,211758.732421875
491,366.3175,13.95,0.0,2,215666.52868652344
492,366.3468,15.82,2.902,2,2362892.875732422
493,366.3468,16.04,2.337,2,3914108.1424153647
494,366.3468,16.18,1.784,1,3984101.1831054688
495,367.2565,10.67,0.0,3,107279.82609049478
496,367.2858,16.08,0.0,3,194469.92952473956
497,368.3599,16.45,6.974,3,844239.222330729
498,368.3599,16.59,0.277,3,252681.62251790363
499,368.4188,16.51,1.357,1,385435.828125
500,368.4188,16.64,0.472,1,350341.8055013021
501,368.4188,16.76,0.26,2,435242.8837890625
502,369.245,8.85,2.522,1,401205.525390625
503,369.245,8.98,1.146,1,475403.2822265625
504,369.245,15.59,2.189,1,372075.6420491536
505,369.245,15.71,1.612,1,518468.43851725257
506,369.3631,16.46,0.0,3,206349.109375
507,369.4223,16.49,0.0,3,126804.07149251303
508,370.384,17.09,6.795,3,2178860.7122395835
509,370.384,17.22,0.0,2,2647532.7451171875
510,371.1552,13.83,0.0,3,107594.84326171875
511,371.17,13.25,0.0,2,254766.83854166666
512,371.1997,12.04,3.583,2,687614.1494140625
513,371.1997,12.16,1.905,1,911485.7262369791
514,371.2888,10.93,0.895,1,189746.84765625
515,371.2888,11.07,0.674,3,174054.90425618488
516,371.3185,16.82,2.636,2,1352874.9385986328
517,371.3185,16.95,2.405,2,2115847.430989583
518,371.3185,17.08,2.118,2,2211888.200480143
519,371.3779,17.08,4.415,3,512144.1285807291
520,371.3779,17.21,0.0,2,603165.0485432942
521,372.315,16.82,2.198,2,312544.1793619791
522,372.315,16.94,1.481,1,428446.1043294271
523,372.3447,14.0,0.0,3,134165.6787516276
