,m/z,rt,sn,score,peak area
285,302.2408,7.98,1.432,2,596552.6015625
286,302.3012,12.02,2.512,1,269950.0670572916
287,303.1852,13.52,0.0,2,160585.94169108072
288,303.258,14.39,4.267,2,467951.3629557291
289,303.258,14.51,0.0,3,554278.6752115885
290,305.2172,6.41,13.054,1,1740884.4842122393
291,305.2172,6.56,2.271,3,1918575.7315266926
292,305.2172,6.68,1.272,1,1929474.9757486978
293,306.22,6.4,3.792,1,273650.65657552076
294,308.0628,7.47,0.0,1,201032.75048828125
295,308.297,15.83,2.537,3,549324.5786946614
296,308.297,15.96,0.0,1,799910.0442301431
297,309.2109,10.66,4.366,3,577090.9258626304
298,309.2109,10.78,0.0,1,664292.2835286458
299,309.2232,6.11,1.294,1,406784.3987223307
300,309.2232,6.26,2.188,1,401822.9055989584
301,310.2391,12.86,5.784,2,838430.1444905598
302,310.2391,12.99,1.969,1,934050.7094726562
303,310.3136,16.46,3.259,1,538287.8143717448
304,310.3136,16.58,1.794,2,712176.3912760416
305,311.2459,12.86,0.0,1,118204.64978027344
306,312.3309,17.08,12.631,2,1083417.0494791665
307,313.144,12.04,6.421,2,1174846.693684896
308,313.144,12.17,1.921,1,1287177.9454752603
309,313.144,12.29,0.94,3,1380166.8036702476
310,313.2693,15.41,0.8,3,575401.0240885416
311,313.2693,15.54,0.09,1,694079.3014322916
312,313.2693,15.67,2.366,1,3253897.2421875
313,313.2693,15.8,1.146,3,4038102.14453125
314,313.2693,15.93,0.846,1,4023910.725585937
315,313.332,17.07,2.547,1,165364.16792805988
316,314.1477,12.04,0.0,2,191639.69108072916
317,314.2734,15.59,5.001,3,648033.478190104
318,314.2734,15.71,1.173,1,665431.211751302
319,316.0003,0.67,0.248,2,115338.51529947916
320,316.1393,4.18,0.0,1,687374.4605305989
321,317.1145,4.91,10.734,2,1166409.746419271
322,318.2709,8.1,1.532,2,2556364.2592773438
323,318.2709,8.22,2.591,1,1620956.0667317708
324,318.2709,8.34,2.001,3,2070074.2755126953
325,318.2709,8.47,1.975,3,2542198.0923258457
326,318.2709,8.59,2.066,3,2556364.2592773438
327,319.2782,8.21,2.2,2,246345.78076171875
328,319.2782,8.33,0.0,3,299941.4737141927
329,320.2118,13.53,3.733,1,885676.380086263
330,320.2118,13.65,2.142,1,1182294.1313476562
331,320.2118,13.78,1.051,1,1232571.98824056
332,320.2759,14.39,0.0,3,357852.4016927084
333,321.2124,13.52,2.543,3,205516.5216471354
334,321.2381,13.83,1.56,2,247396.91483561197
335,321.2381,13.95,0.0,2,316921.7916666666
336,322.0229,0.63,1.764,2,107829.86934407553
337,322.0744,7.55,0.0,2,194465.6796468099
338,322.1517,5.21,0.0,1,261555.58268229166
339,322.2935,13.89,2.581,3,254489.62304687497
340,322.9904,0.66,0.0,3,257192.77050781247
341,325.1682,13.5,0.0,1,199804.9561767578
342,325.2072,10.36,2.077,2,161877.88574218747
343,325.2332,14.38,7.177,2,668934.7223307291
344,325.2332,14.51,1.427,3,686880.5562744141
345,327.0073,8.8,0.0,1,247261.7726236979
346,329.0015,8.79,0.0,1,237058.86800130206
347,330.2805,12.3,1.277,2,114296.58642578125
348,330.3069,10.72,0.0,2,108153.78015136719
349,330.3333,13.64,0.0,2,248212.68261718747
350,331.286,15.37,3.709,2,1525871.7655029297
351,331.286,15.59,3.532,1,21720977.19563802
352,331.286,15.7,2.6,3,30858692.30293782
353,331.286,15.82,2.34,1,34709838.22200521
354,331.286,15.97,1.981,2,34920730.91101074
355,331.4451,15.61,0.0,1,1135149.3470052083
356,332.2946,15.45,0.377,2,216944.25862630206
357,332.2946,15.59,3.555,2,4696886.9501953125
358,332.2946,15.71,1.666,1,5749877.164062499
359,332.3345,12.84,3.702,2,389867.6587320963
360,333.293,15.59,4.18,3,672091.7460937499
361,333.293,15.71,1.984,3,796867.6688232421
362,335.2317,9.81,0.0,1,129834.34928385417
363,335.2317,10.58,4.421,1,818174.7937418619
364,335.2317,10.71,1.877,1,1030195.3257242838
365,335.2317,10.83,1.01,1,1057912.7610677083
366,336.2389,10.59,2.344,1,163266.08919270834
367,336.3061,14.64,0.0,1,151084.4876302083
368,337.2086,11.93,3.25,2,776026.0172526041
369,337.2086,12.06,0.96,2,2244714.7942708335
370,337.2086,12.33,0.821,3,216944.40397135416
371,337.2086,12.49,0.922,1,101528.29638671874
372,338.2217,11.93,2.011,1,122303.40897623697
373,338.2217,12.13,2.37,3,184521.34940592447
374,338.3164,14.83,1.463,3,263487.3193359375
375,338.3435,17.22,10.318,2,16581793.417236326
376,338.3435,17.38,9.662,3,18770976.815104164
377,338.9666,0.63,4.182,2,517939.5768229166
378,338.9666,0.75,0.0,3,634836.0423177084
379,339.3465,17.21,4.713,1,3444571.775960286
380,339.3465,17.35,3.111,2,4513170.775634765
381,339.3465,17.47,3.747,3,4581762.669799806
382,340.3524,17.21,4.412,1,438366.88899739576
383,340.3524,17.34,0.0,2,475708.1630859375
384,341.3067,16.35,1.355,1,1045688.6110026041
385,341.3067,16.53,3.959,1,2853025.4811197915
386,341.3067,16.7,2.392,2,3410398.222005208
387,341.3067,16.85,1.196,1,3422787.622395833
388,342.3048,16.53,2.884,2,307226.4876302083
389,342.3184,16.35,0.0,1,196420.0654296875
390,342.3458,16.19,2.536,2,463205.94425455725
391,343.1547,11.64,1.095,2,318395.89652506507
392,344.227,4.02,0.0,2,1032234.0533854166
393,344.9851,0.64,8.27,3,998051.9241536458
394,344.9851,0.77,0.0,1,1075079.922810872
395,345.2336,3.99,0.0,1,134970.9827473958
396,347.2278,9.85,1.989,2,164053.37972005206
397,348.2293,9.85,4.711,3,4092486.0045572915
398,348.2293,9.96,2.663,1,4735175.874104818
399,348.2293,10.09,2.492,3,5373256.199584961
400,348.2293,10.21,2.046,3,5379869.297851563
401,348.2293,10.32,0.0,2,5418236.658365885
402,348.3129,15.59,3.594,2,20904498.548177082
403,348.3129,15.7,2.71,3,27942781.148111977
404,348.3129,15.82,3.845,1,32048492.75390625
405,348.3129,15.97,2.042,1,31884243.81087239
406,348.4801,15.61,0.0,1,1063626.817708333
407,349.2336,9.84,4.1,3,870427.3892008463
408,349.2336,9.96,2.176,1,1037568.7876790364
409,349.3174,15.59,3.683,1,4748210.493489583
410,349.3174,15.71,2.566,1,5983735.636474609
411,349.3174,15.84,2.227,1,6746201.254557293
412,349.3174,15.97,1.88,2,6786495.557454426
