Average m/z,Average RT (min),Average sn,Average score,20181114_CoulterCreek_2,20181114_Crescent-Creek-May_2,20181114_SR518-Cal_1000mL_dil-to-160mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_1,20181114_SR520-Cal-in-DI_400mL_2,20181114_SwanCreek-Dec_3
199.0098,4.09,inf,0.6,0.0,0.0,101838.195,0.0,0.0,0.0
199.04137,0.62,inf,0.57500005,229892.6,410575.2,196160.17,0.0,0.0,523380.06
199.0413,0.755,1.8105,0.35000002,0.0,464250.4,0.0,0.0,0.0,558587.5
199.0892,7.52,2.142,0.6,0.0,0.0,0.0,0.0,1529554.5,0.0
199.0892,7.65,1.032,0.6,0.0,0.0,0.0,0.0,1618461.0,0.0
199.08923,7.375,4.8424997,0.8,0.0,0.0,0.0,375209.28,1244866.6,0.0
199.129,4.67,2.173,0.6,0.0,0.0,0.0,0.0,135763.48,0.0
199.1529,6.46,inf,0.1,0.0,0.0,0.0,0.0,130200.33,0.0
199.18466,7.348,2.7695,0.35000002,7783115.0,7894622.5,0.0,0.0,6848830.0,7733143.0
199.18475,7.163,9.798167,0.5833333,7112522.0,7229632.5,832226.6,396248.53,6023512.5,6920926.5
199.18466,7.47,2.0527499,0.79999995,7837711.0,7986291.5,0.0,0.0,841840.5,7739108.5
199.1847,7.59,1.811,1.0,0.0,8029767.0,0.0,0.0,0.0,0.0
199.185,7.29,0.932,0.6,0.0,0.0,1017418.6,0.0,0.0,0.0
200.02309,21.193,1.679,0.56666666,794051.7,755095.94,0.0,783824.06,0.0,0.0
200.02309,0.88,inf,0.4,1822200.5,2750243.5,0.0,579180.6,0.0,0.0
200.02309,0.617,2.466667,0.7,1232061.0,1735318.8,0.0,486682.9,0.0,0.0
200.02309,0.75,2.5319998,0.73333335,1685840.9,2610746.8,0.0,540257.5,0.0,0.0
200.02309,21.057,2.3233335,0.56666666,563496.6,475707.8,0.0,477497.06,0.0,0.0
200.0871,7.37,2.182,1.0,0.0,0.0,0.0,0.0,131178.6,0.0
200.1272,5.81,inf,0.1,0.0,0.0,0.0,0.0,133780.16,0.0
200.1672,6.18,inf,1.0,0.0,0.0,0.0,0.0,2680709.0,0.0
200.1672,6.04,1.904,1.0,0.0,0.0,0.0,0.0,2482632.2,0.0
200.16727,5.915,inf,0.8,0.0,0.0,0.0,346076.6,2272874.0,0.0
200.18306,7.297,1.3676666,0.26666668,874309.94,0.0,0.0,0.0,930133.44,871786.5
200.18307,7.165,6.481,0.325,854732.75,837535.44,0.0,0.0,619046.2,797592.9
200.23923,4.638,inf,0.71666664,5743402.0,4763797.5,295637.38,235282.55,4055363.0,5708249.5
200.2392,4.775,inf,0.35000002,6046863.0,0.0,0.0,0.0,4175923.0,0.0
201.0255,0.62,inf,0.1,0.0,0.0,0.0,0.0,0.0,120286.19
201.0737,0.71,1.878,0.6,0.0,0.0,0.0,0.0,0.0,175194.58
201.0739,0.64,1.734,0.6,0.0,494821.8,0.0,0.0,0.0,0.0
201.1705,5.92,3.671,0.1,0.0,0.0,0.0,0.0,244983.92,0.0
201.1947,8.2,inf,0.6,0.0,0.0,0.0,0.0,169005.78,0.0
201.24286,4.642,inf,0.35000002,770456.5,588368.75,0.0,0.0,525760.25,709951.06
202.1465,4.28,0.953,0.1,0.0,0.0,0.0,0.0,101798.336,0.0
202.1546,3.97,inf,1.0,0.0,0.0,0.0,0.0,122504.82,0.0
202.21924,5.444,inf,0.73999995,311042.0,451440.3,167740.5,0.0,709721.6,478251.56
202.21918,4.128,2.8055,0.9,144602.94,261085.67,0.0,0.0,272171.47,304912.8
202.2192,5.57,inf,0.43333337,0.0,601775.9,0.0,0.0,820070.44,617283.1
203.111,6.11,1.104,1.0,0.0,0.0,0.0,0.0,103218.97,0.0
204.1046,4.6,inf,0.6,0.0,0.0,0.0,0.0,156972.08,0.0
204.1373,7.14,inf,0.6,0.0,0.0,0.0,0.0,188405.44,0.0
205.08653,12.232,2.0416,0.74,1517673.5,1417324.1,0.0,808381.7,1315101.8,1746281.0
205.08649,12.37,inf,0.675,1587977.1,1511654.5,0.0,0.0,1355959.1,1977344.6
205.0866,11.932,2.1358333,0.35,1397769.8,1348692.0,191885.83,808381.7,1315101.8,224225.06
205.0866,12.062,inf,0.71666664,1466007.2,1509354.6,466868.75,853827.3,1355959.1,1977344.6
205.0867,12.32,1.127,0.1,0.0,0.0,0.0,853827.3,0.0,0.0
205.1687,5.18,inf,0.1,0.0,0.0,0.0,0.0,5842320.5,0.0
206.1723,5.17,inf,1.0,0.0,0.0,0.0,0.0,834988.56,0.0
206.1723,5.29,inf,1.0,0.0,0.0,0.0,0.0,840767.6,0.0
207.098,5.78,2.431,0.6,0.0,0.0,0.0,0.0,261089.08,0.0
207.098,7.05,1.89,0.6,0.0,0.0,0.0,0.0,4361599.0,0.0
207.0981,7.2,inf,0.1,0.0,0.0,0.0,127763.09,0.0,0.0
207.09805,6.91,2.0765,0.35000002,0.0,0.0,0.0,1050629.6,3737395.0,0.0
207.09805,6.765,6.693,0.55,0.0,0.0,0.0,931325.2,3381139.2,0.0
207.1393,5.94,inf,0.1,102312.2,0.0,0.0,0.0,0.0,0.0
207.1395,5.86,0.789,1.0,0.0,0.0,0.0,0.0,136977.89,0.0
207.1478,4.99,1.497,0.6,0.0,0.0,0.0,0.0,3346663.2,0.0
207.1478,4.72,2.7535,0.55,0.0,0.0,0.0,396838.34,2279836.8,0.0
207.1478,4.865,5.371,0.35000002,0.0,0.0,0.0,172476.67,3290686.0,0.0
207.156,5.675,inf,0.67499995,148170.25,106315.2,207278.31,0.0,238628.7,0.0
207.156,5.2,1.072,0.1,0.0,0.0,0.0,0.0,186549.98,0.0
208.1028,6.76,3.082,1.0,0.0,0.0,0.0,0.0,277406.62,0.0
208.1528,4.72,3.51,0.6,0.0,0.0,0.0,0.0,301750.3,0.0
208.1528,4.84,1.02,1.0,0.0,0.0,0.0,0.0,118111.11,0.0
209.1124,8.67,0.909,0.6,0.0,0.0,0.0,0.0,107105.8,0.0
209.1124,8.55,1.54,0.1,0.0,0.0,0.0,0.0,239512.28,0.0
209.1208,4.9,1.102,0.1,0.0,0.0,0.0,0.0,121379.96,0.0
209.1375,3.71,inf,1.0,0.0,0.0,0.0,0.0,269700.7,0.0
209.2045,5.24,inf,0.55,0.0,0.0,0.0,175328.81,684992.5,0.0
210.10185,5.17,7.7825,0.8,0.0,0.0,576456.5,0.0,636263.5,0.0
210.127,8.54,3.175,1.0,0.0,0.0,0.0,0.0,407831.25,0.0
210.1774,4.35,inf,0.6,0.0,0.0,0.0,0.0,189973.45,0.0
210.1858,4.27,inf,1.0,0.0,0.0,0.0,0.0,558563.8,0.0
210.1858,10.67,2.35,0.6,0.0,0.0,0.0,0.0,1765256.8,0.0
210.1858,10.79,1.238,1.0,0.0,0.0,0.0,0.0,1825670.6,0.0
210.1859,10.543,inf,0.56666666,0.0,0.0,190981.75,331069.3,1524166.0,0.0
211.0957,5.455,inf,0.6,0.0,0.0,105038.016,0.0,0.0,101311.37
211.1296,5.2,inf,1.0,0.0,0.0,0.0,0.0,185750.47,0.0
211.1296,4.05,1.319,0.6,0.0,0.0,0.0,0.0,333220.84,0.0
211.1718,10.06,1.386,0.1,0.0,0.0,0.0,0.0,150309.16,0.0
211.1802,7.38,2.188,1.0,0.0,0.0,0.0,0.0,123587.05,0.0
211.1887,10.54,2.485,0.1,0.0,0.0,0.0,0.0,200639.72,0.0
212.1199,4.27,inf,0.65999997,0.0,131693.16,1316418.9,4424055.0,14598160.0,408316.78
212.1201,4.43,inf,1.0,0.0,0.0,1328543.0,0.0,0.0,0.0
212.1369,3.65,inf,0.6,0.0,0.0,0.0,0.0,391749.03,0.0
213.1064,6.87,inf,0.1,0.0,0.0,0.0,0.0,291641.75,0.0
213.1064,6.23,1.19,0.6,0.0,0.0,0.0,0.0,566629.3,0.0
213.1064,6.11,4.096,0.1,0.0,0.0,0.0,0.0,480736.44,0.0
213.1235,4.43,inf,0.1,0.0,0.0,0.0,0.0,2285766.8,0.0
213.12358,4.273,inf,0.73333335,0.0,0.0,188761.19,572676.2,2256498.2,0.0
213.1576,5.47,inf,0.35000002,0.0,0.0,0.0,104315.63,344476.28,0.0
213.1576,5.59,1.2,0.6,0.0,0.0,0.0,0.0,454563.56,0.0
214.089,6.65,inf,1.0,0.0,0.0,0.0,122721.48,1065468.5,0.0
214.089,6.78,0.96,0.6,0.0,0.0,0.0,0.0,1076902.8,0.0
214.1832,7.84,inf,0.1,0.0,0.0,0.0,0.0,138192.86,0.0
214.2517,4.723,inf,0.6666667,60394130.0,48427600.0,4336347.5,3033793.8,41505220.0,56334164.0
214.2518,4.86,3.508,0.6,0.0,0.0,0.0,3319999.5,0.0,0.0
214.38017,4.73,inf,0.675,3779649.8,2833681.0,0.0,0.0,1911035.1,3455536.8
214.9986,7.66,inf,0.6,0.0,0.0,0.0,0.0,162875.02,0.0
215.0073,21.98,0.882,0.6,0.0,0.0,0.0,124493.055,0.0,0.0
215.0073,0.71,1.12,0.6,0.0,0.0,0.0,114490.62,0.0,0.0
215.0074,22.28,0.885,0.1,0.0,0.0,102517.26,0.0,0.0,0.0
215.0156,21.09,0.729,0.6,137763.28,0.0,0.0,0.0,0.0,0.0
215.0156,21.23,0.915,1.0,275817.5,0.0,0.0,0.0,0.0,0.0
215.0156,21.17,0.953,0.6,0.0,0.0,0.0,0.0,0.0,153906.72
215.1276,4.36,0.977,0.6,0.0,0.0,0.0,0.0,141735.7,0.0
215.25671,4.727,inf,0.7833333,9490997.0,7547803.5,606194.7,427441.44,6302268.5,8852876.0
215.2568,4.93,inf,1.0,0.0,0.0,0.0,0.0,6332673.5,0.0
216.0501,6.03,inf,0.1,0.0,0.0,0.0,0.0,0.0,1113999.1
216.05022,5.915,inf,0.675,1265743.1,997699.44,0.0,0.0,607685.2,1020408.5
216.05025,6.08,inf,0.8,1291783.4,1020406.06,0.0,0.0,0.0,0.0
216.1368,4.76,inf,1.0,0.0,0.0,0.0,164399.62,752329.06,0.0
