,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
6967,0.22133332,0.09914017580673297,0.060866663,0.16046665699999998,2.636363636363636,2697995.434407552,6.546,635631.0,0.479,140686.234375,2293030.147654353,1027458.0574038336,3320488.205058187,0.4480787391543317,0.004508799187942342,1
6968,0.414999975,0.3214078914410237,0.17706665600000002,0.237933319,1.34375,3237172.9581705723,0.0,77559.0,1.341,32187.12890625,97581.25679235319,102845.35689125812,200426.6136836113,1.0539458116439986,0.010629610642148698,1
6976,0.127266659,0.06973629520687354,0.033199997999999994,0.094066661,2.833333333333333,265410.4357096354,2.948,166983.0,0.5429999999999999,21251.365234375,493087.2951791048,220509.3103732688,713596.6055523736,0.4472013627793288,0.0015324336911526064,1
6977,0.287733316,0.28817358484635625,0.16046665699999998,0.127266659,0.7931034482758622,458898.86710611975,1.215,24779.0,1.238,7129.62548828125,22642.63629563802,27267.361058494298,49909.997354132334,1.2042485116340977,0.00408509415604874,1
6979,0.7580666209999999,0.7362305934410093,0.044266664000000004,0.713799957,16.125,4286240.081868488,1.815,15195.0,2.716,11519.076171875,148669.45044055494,8257.52029079373,156926.97073134867,0.055542818422507564,0.0018726426904686032,1
6980,0.780199953,0.7806670119195506,0.188133322,0.592066631,3.147058823529412,4308757.0390625,0.0,10012.0,3.912,7811.263671875,21181.82570044269,6549.985111052357,27731.810811495045,0.3092266551374495,0.058637610935256275,1
6981,0.49246663700000004,0.2513632540280401,0.381799977,0.11066666,0.2898550724637681,3725947.3160807285,2.511,74519.0,1.141,36698.23828125,114250.45305824053,202174.3018791741,316424.75493741466,1.7695711173776558,0.009733515526240029,1
6982,0.7580666209999999,0.5524556111239263,0.509066636,0.248999985,0.4891304347826087,4286240.081868488,2.295,19215.0,2.148,14565.947265625,23148.182579981865,30622.394485149896,53770.57706513176,1.3228854740255762,0.025019994927367742,1
6983,0.780199953,0.7807435825834795,0.7082666240000001,0.07193332899999999,0.1015625,4308757.0390625,0.0,11653.0,3.361,9091.859375,6458.158499377794,59162.02688741082,65620.18538678861,9.160819898290004,0.02264067137769856,1
7001,0.287733316,0.2878692004508432,0.033199997999999994,0.254533318,7.666666666666668,390254.7482910156,1.278,23933.0,1.09,6886.20751953125,116602.01200473387,13327.772907890332,129929.78491262422,0.11430139736653296,0.0017919754650659258,1
7005,0.40946664200000005,0.15800626359760306,0.121733326,0.287733316,2.3636363636363638,3467820.052571615,7.751,268508.0,0.426,109944.9375,1026028.7634310931,526413.2082381193,1552441.9716692124,0.513058919009021,0.014578714770000875,1
7006,0.426066641,0.4280098870856896,0.35966664499999995,0.06639999599999999,0.1846153846153846,3493730.4928385424,0.9690000000000001,32248.0,3.302,13739.5869140625,19215.997604975968,97435.55903427883,116651.5566392548,5.07054387897342,0.006981584192774921,1
7007,0.099599994,0.08450197447958678,0.027666665,0.07193332899999999,2.6,217660.74088541663,2.3209999999999997,171363.0,0.708,17067.779296875,382662.4037497858,137199.4291042049,519861.8328539907,0.35853908761289355,0.000907223173767041,1
7008,0.730399956,0.7309326652106519,0.016599998999999997,0.713799957,43.00000000000001,4293794.983886719,1.36,17018.0,2.617,12429.984375,468934.8714048551,8659.846657870828,477594.71806272597,0.01846705627143336,0.0001898394254774601,1
7009,0.453733306,0.3733946740114067,0.13279999199999998,0.320933314,2.416666666666667,3564439.5822753906,2.2159999999999997,102334.0,0.9359999999999999,46432.4765625,391802.54730294883,73904.1773975982,465706.7247005471,0.1886260768500164,0.01812842193241908,1
7010,0.49246663700000004,0.4199293782818092,0.381799977,0.11066666,0.2898550724637681,3706342.397786458,2.259,78086.0,1.083,38454.83203125,59295.227840683576,200989.98517215898,260285.21301284255,3.3896485854171217,0.009733515526240029,1
7011,0.730399956,0.7311294548778755,0.509066636,0.22133332,0.43478260869565216,4293794.983886719,1.8619999999999999,23305.0,1.911,17021.78125,16870.49369725736,37551.526459613924,54422.02015687128,2.225870038748106,0.0227153379082591,1
7016,0.16599999,0.07304303493480258,0.049799997,0.116199993,2.333333333333333,552906.627766927,5.97,227809.0,0.48700000000000004,37816.2734375,584053.9069761699,464926.6271880226,1048980.5341641926,0.7960337592724848,0.0023781137460445394,1
7017,0.193666655,0.19529367791741464,0.16599999,0.027666665,0.16666666666666669,583171.715657552,1.163,34504.0,2.4930000000000003,6682.349609375,20379.38321033769,106593.86149980967,126973.24471014734,5.2304753485247115,0.0014320663821293473,1
7023,0.127266659,0.12724686337173546,0.011066666000000001,0.116199993,10.5,145970.03304036456,0.0,44899.0,1.111,5714.09423828125,358036.79680169455,23955.030338306737,381991.8271400012,0.06690661561128504,0.00015366110556346208,1
7025,0.509066636,0.5040137511309032,0.044266664000000004,0.464799972,10.5,2152507.9030761714,1.319,21417.0,2.146,10902.8935546875,152695.4067167081,11640.622538778947,164336.02925548705,0.07623426787405267,0.002458577689015393,1
